Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
32,2023-01-04,CUST032,Male,30.0,Beauty,3,30.0,90.0
110,2023-06-11,CUST110,Male,27.0,Clothing,3,300.0,900.0
137,2023-11-18,CUST137,Male,46.0,Beauty,2,500.0,1000.0
89,2023-10-01,CUST089,,55.0,Electronics,4,500.0,2000.0
919,2023-09-09,,Female,22.0,Beauty,2,25.0,50.0
575,2023-03-28,CUST575,Male,60.0,,2,50.0,100.0
871,2023-08-31,CUST871,Male,62.0,Beauty,2,30.0,60.0
319,2023-10-05,CUST319,,31.0,Clothing,1,500.0,500.0
262,2023-07-30,CUST262,female,32.0,Beauty,4,30.0,120.0
536,2023-03-05,CUST536,Female,55.0,Beauty,4,30.0,120.0
920,2023-02-22,CUST920,,28.0,Beauty,3,25.0,75.0
597,2023-08-22,CUST597,Male,22.0,Beauty,4,300.0,1200.0
77,2023-07-09,CUST077,Female,47.0,Clothing,2,50.0,100.0
108,2023-04-19,CUST108,Female,27.0,Beauty,3,25.0,75.0
425,2023-05-15,CUST425,Female,55.0,Electronics,4,30.0,120.0
585,2023-05-01,CUST585,Female,24.0,Clothing,1,25.0,42.25175532250138
854,2023-12-20,CUST854,Male,29.0,Clothing,1,50.0,50.0
665,2023-04-20,CUST665,Male,,Clothing,1,50.0,50.0
830,2023-06-22,CUST830,Female,64.0,Clothing,3,50.0,150.0
421,2023-01-02,CUST421,Female,37.0,Clothing,3,500.0,1500.0
598,2023-08-01,CUST598,Male,37.0,Beauty,4,30.0,120.0
459,2023-03-21,CUST459,Male,28.0,Clothing,4,300.0,1200.0
313,2023-03-21,CUST313,Female,55.0,Beauty,3,500.0,1500.0
650,2024-01-01,CUST650,Male,55.0,Electronics,1,30.0,30.0
366,2023-02-07,CUST366,Male,57.0,,2,50.0,100.0
322,2023-01-30,CUST322,Male,51.0,Electronics,1,500.0,500.0
630,2023-08-15,CUST630,Male,42.0,Clothing,2,,100.0
915,2023-05-30,CUST915,Female,26.0,Beauty,3,30.0,90.0
469,2023-05-08,CUST469,Male,18.0,Beauty,3,25.0,
599,2023-11-19,CUST599,Female,28.0,Beauty,2,50.0,100.0
